site_id,site_name,n_entities,n_samples,latitude,longitude,elevation,age_min_yr_BP,age_max_yr_BP,frac_obs_d18O_measurement,frac_obs_d13C_measurement,frac_obs_Mg_Ca_measurement,frac_obs_Sr_Ca_measurement
325,Larga cave,1,1880,18.32,-66.8,350.0,16859.7,46398.0,1.0,1.0,1.0,1.0
179,Closani cave,1,1595,45.1,22.8,433.0,-20.91167,3567.604,1.0,1.0,1.0,1.0
177,Santo Tomas cave,1,1477,22.55,-83.84,170.0,7024.0,80952.0,1.0,1.0,1.0,1.0
70,Abaco Island cave,4,1168,26.23,-77.16,-45.0,13766.0,63848.0,1.0,1.0,1.0,1.0
117,Bunker cave,1,1004,51.3675,7.6647,184.0,42831.8678215,51947.7104996,1.0,1.0,1.0,1.0
363,Lake Shasta cave,2,941,40.804,-122.304,725.0,14249.0,34788.0,1.0,1.0,1.0,1.0
342,Sa balma des quartó cave,4,930,39.5145,3.3059,10.5,70.4390000000001,2603.0,1.0,1.0,1.0,1.0
29,Mairs cave,2,812,-32.16,138.83,475.0,15246.0,23135.0,1.0,1.0,1.0,1.0
360,Bigonda cave,2,688,46.018,11.581,370.0,104471.965110388,130504.903924395,1.0,1.0,1.0,1.0
316,Hüttenbläserschachthöhle,3,662,51.3689,7.6547,430.0,594.98,10738.22,1.0,1.0,1.0,1.0
144,Botuverá cave,1,644,-27.2247,-49.1569,180.0,443.0,112420.0,1.0,1.0,1.0,1.0
366,Savi cave,2,574,45.6167,13.8833,350.0,9392.2,15063.8,1.0,1.0,1.0,1.0
2,Kesang cave,1,544,42.87,81.75,2000.0,70872.6394726,230051.713794,1.0,1.0,1.0,1.0
79,Dim cave,3,518,36.534,32.1056,232.0,9738.09282072,89714.2165033,1.0,1.0,1.0,1.0
269,Gejkar cave,1,424,35.8,45.1645,650.0,-62.0,1017.0,1.0,1.0,1.0,1.0
364,Naharon,1,390,20.18,-87.54,-17.7,9557.5,11043.3,1.0,1.0,1.0,1.0
305,Cueva Rosa,4,377,43.4436,-5.1403,121.0,65048.6954299992,135915.732381815,1.0,1.0,1.0,1.0
361,Kocain cave,1,317,37.2325,30.7117,730.0,-50.22,2916.99,1.0,1.0,1.0,1.0
137,Kinderlinskaya cave,1,287,54.15,56.85,240.0,1821.0,10572.0,1.0,1.0,1.0,1.0
232,Rio Secreto cave system,1,255,20.59,-87.13,20.0,5267.78,5720.98,1.0,1.0,1.0,1.0
359,Zoolithen cave,2,251,49.7793,11.2829,455.0,-20.0,129.0,1.0,1.0,1.0,1.0
259,Cobre cave,1,244,42.98,-4.37,1600.0,100605.613697,116273.0,1.0,1.0,1.0,1.0
104,Liang Luar,1,234,-8.53,120.43,550.0,-45.0,1949.0,1.0,1.0,1.0,1.0
270,Gol-E-Zard cave,1,213,35.84,52.0,2535.0,3766.22222222,4920.0,1.0,1.0,1.0,1.0
357,Yonderup cave,1,182,-31.547,115.69,100.0,-53.268,190.394,1.0,1.0,1.0,1.0
271,Jersey cave,1,131,-35.72,148.49,800.0,34977.3769329,98936.4362583,1.0,1.0,1.0,1.0
324,La Vallina,1,125,43.41,-4.8067,70.0,72650.0891416902,137025.72609163,1.0,1.0,1.0,1.0
362,Labyrinth cave,1,124,-34.3,115.1,65.0,-54.2071862478999,32.3697521497299,1.0,1.0,1.0,1.0
268,Pere Noel cave,1,119,50.0,5.2,230.0,2259.375,12876.9130434783,1.0,1.0,1.0,1.0
182,Kotumsar cave,1,116,19.0,82.0,32.0,3091.0,3449.0,1.0,1.0,1.0,1.0
4,Villars cave,1,116,45.43,0.78,175.0,1884.0,168187.0,1.0,1.0,1.0,1.0
337,Pir Ghar cave,1,99,35.23,57.42,1600.0,72974.0,97100.0,1.0,1.0,1.0,1.0
313,Herbstlabyrinth cave,1,90,50.6875,8.2058,435.0,7778.7900404709,8324.3183469428,1.0,1.0,1.0,1.0
309,Goda Mea cave,1,86,9.49,37.66,1574.0,108270.0,129151.0,1.0,1.0,1.0,1.0
300,Careys cave,1,79,-35.07,148.66,393.0,-39.9725089500801,82.1220968110099,1.0,1.0,1.0,1.0
338,Coves del pirata,1,76,39.5046,3.3009,32.0,848.424,1526.849,1.0,1.0,1.0,1.0
14,Lehman caves,1,72,39.01,-114.22,2080.0,10170.0,16400.0,1.0,1.0,1.0,1.0
315,Huangchao cave,1,46,36.6167,118.3333,518.0,325.0,2024.0,1.0,1.0,1.0,1.0
201,Moondyne cave,1,44,-34.27,115.08,100.0,-41.5,38.0,1.0,1.0,1.0,1.0
298,Belum cave,1,43,15.1,78.1,367.0,81919.9,103494.9,1.0,1.0,1.0,1.0
320,Katalekhor,1,27,35.85,48.16,1719.0,273.0,8716.0,1.0,1.0,1.0,1.0
