n,r2,mae,rmse,mdae,ks_d,calibration_slope,calibration_intercept,fold,model,target,site_id,site_name
544,-0.0024152632386247,1.231647902562942,1.4365021593303269,1.2278439363098137,0.5147058823529411,-0.2539538426623371,-12.267418447856988,0,RandomForest,d18O_measurement,2,Kesang cave
116,-0.6771244417065718,0.9599113618693422,1.06919612138269,0.965810650414527,0.8620689655172413,-1.9186326500356603,-13.757471272320942,1,RandomForest,d18O_measurement,4,Villars cave
72,-50.99587062261138,3.3506184398000207,3.3826065892697934,3.3367292779578923,1.0,15.952583871161972,120.60743831795304,2,RandomForest,d18O_measurement,14,Lehman caves
812,-0.8026512391119225,0.6699093969058963,0.8065974832469837,0.6286282601104434,0.7881773399014779,6.283954911662318,34.61479557491715,3,RandomForest,d18O_measurement,29,Mairs cave
1168,-0.9574123308634436,0.9638705107307892,1.1572377158044946,0.8936167127975323,0.7448630136986302,4.1144908725676,13.037067180803415,4,RandomForest,d18O_measurement,70,Abaco Island cave
518,-0.0307795946017628,0.5282825931569766,0.6329080432678822,0.485688730354112,0.4749034749034749,-1.562383655976797,-13.109405460440124,5,RandomForest,d18O_measurement,79,Dim cave
234,-317.8467225006607,4.084051268713276,4.091078868892737,4.111157561811018,1.0,0.1431939169424521,-5.942449028035352,6,RandomForest,d18O_measurement,104,Liang Luar
1004,-0.6066238323705477,0.4540680305495141,0.5416936475798766,0.4148343250080986,0.6165338645418327,-3.4946327472498555,-23.66819858609213,7,RandomForest,d18O_measurement,117,Bunker cave
287,-31.23551337287895,4.504683335898593,4.582247192281949,4.251978272395299,1.0,-7.439038856864122,-67.02431421021926,8,RandomForest,d18O_measurement,137,Kinderlinskaya cave
644,-0.1642180742873507,0.8335472872748318,1.0532128479263674,0.6857950211347921,0.5015527950310559,-0.3469167698081195,-4.054144472454026,9,RandomForest,d18O_measurement,144,Botuverá cave
1477,-14.163790324301807,2.940069022895345,3.023733058828922,3.102481648251377,1.0,1.570158526180519,4.965869653640383,10,RandomForest,d18O_measurement,177,Santo Tomas cave
1595,-11.29198216690026,0.9535595892703724,1.0066766441098938,0.885257000033902,1.0,-4.462567396681362,-39.80574468776104,11,RandomForest,d18O_measurement,179,Closani cave
116,-0.0074200204856773,0.528112882738537,0.6417337349075111,0.4924319441428966,0.5,0.883507216474428,-0.3945818130169796,12,RandomForest,d18O_measurement,182,Kotumsar cave
44,-22.54614161589144,0.7896725696086896,0.8066917008488189,0.773035499980022,1.0,2.464421278142108,7.239657744737547,13,RandomForest,d18O_measurement,201,Moondyne cave
255,-30.44570084454714,2.702423648179785,2.7459945220398194,2.723831373913559,1.0,1.4540462460670658,-1.4237903005637935,14,RandomForest,d18O_measurement,232,Rio Secreto cave system
244,-21.16938779803021,1.411535343689278,1.446156241003284,1.4244132425450742,1.0,-3.46797366689086,-29.63791020066987,15,RandomForest,d18O_measurement,259,Cobre cave
119,-1.51151558050679,0.6342233587709851,0.7568902535921804,0.5458291080100679,0.8319327731092437,1.4762479669558497,3.4779603270559267,16,RandomForest,d18O_measurement,268,Pere Noel cave
424,-18.219842190819644,2.2666789419939364,2.325375380022244,2.2855430778811767,1.0,2.1950170441250094,10.53304833141685,17,RandomForest,d18O_measurement,269,Gejkar cave
213,-11.74896434486524,0.9555647337941012,0.9960426577401122,0.9602048097578136,1.0,0.3280214048091771,-5.194792312967755,18,RandomForest,d18O_measurement,270,Gol-E-Zard cave
131,-0.9073071618128364,0.7893754849505552,1.014262570427894,0.5903874328599041,0.7480916030534351,-12.732504886032734,-72.12458638741303,19,RandomForest,d18O_measurement,271,Jersey cave
43,-1.601833175041511,1.298018650515771,1.6017447400007847,1.0376795789172233,0.8837209302325582,-11.013154396821108,-52.65175861575915,20,RandomForest,d18O_measurement,298,Belum cave
79,-0.5125632268423319,0.3851040640346998,0.4612259557899878,0.3880585909930127,0.7468354430379747,0.4653615303495654,-2.852162211739035,21,RandomForest,d18O_measurement,300,Careys cave
377,-0.4809264987756245,0.7355994482267819,0.9142412004261312,0.6142633041462924,0.2652519893899204,-1.739983277452968,-11.461950346913202,22,RandomForest,d18O_measurement,305,Cueva Rosa
86,-32.27626638763737,2.783880879913404,2.8198305249974758,2.889526499310086,1.0,7.948216455937621,30.55099892862041,23,RandomForest,d18O_measurement,309,Goda Mea cave
90,-0.0823729137679794,0.347380097347583,0.4345579904132576,0.2933709757192981,0.6333333333333333,-81.4848197580111,-500.4484716566949,24,RandomForest,d18O_measurement,313,Herbstlabyrinth cave
46,-45.16005863673411,2.335695032466569,2.361284371741617,2.338462272479628,1.0,0.9117517931315712,-2.842120851344066,25,RandomForest,d18O_measurement,315,Huangchao cave
