model,target,n_rows_oof,pooled_r2,pooled_rmse,pooled_mae,pooled_mdae,fold_r2_mean_unweighted,fold_r2_mean_weighted,fold_r2_median
CatBoost,Mg_Ca_measurement,18004,-0.5533288326682595,11.743952572146394,9.744184350004724,9.419457360780202,-23910789.50817296,-4902825.206762566,-38.100256963055465
Transformer,Mg_Ca_measurement,18004,-0.635581842252553,12.050879035744194,8.982532119751271,6.474775891985216,-780824.1683498011,-160942.64979154573,-24.29690541323385
RandomForest,Mg_Ca_measurement,18004,-0.6432669785185585,12.079157691635316,10.099891629913106,8.85112750273105,-25911528.126173604,-5313802.577726126,-43.22804822552761
BiLSTM,Mg_Ca_measurement,18004,-0.8752656857379197,12.90369205961501,9.5783803849939,6.595029986670055,-5993649.915633851,-1230309.4650188598,-24.53384872292376
XGBoost,Mg_Ca_measurement,18004,-1.0109728841692007,13.362437724071004,11.03449369195601,9.797977751617433,-48849044.51963087,-10015502.73745086,-30.52982061674468
RandomForest,Sr_Ca_measurement,18004,0.5635600448040361,0.3275707886157665,0.1501234535322402,0.0326954362885911,-68193841.79978289,-11181437.473192634,-11.987579856674875
XGBoost,Sr_Ca_measurement,18004,0.3525341288624876,0.3989802108758494,0.1924649351604024,0.0461507228490284,-28005690.27939873,-4592236.0620677285,-43.75694087924732
CatBoost,Sr_Ca_measurement,18004,0.275004761966066,0.4221924785685166,0.1872167554656358,0.0372674696099929,-6451392.82539446,-1058042.7637358685,-29.158585195139324
Transformer,Sr_Ca_measurement,18004,-0.1049021105049723,0.5212004914778814,0.2280674366266631,0.056750492349863,-1081222.4475781256,-177556.3604765521,-28.362473096154357
BiLSTM,Sr_Ca_measurement,18004,-0.4121373100193544,0.5892252900092276,0.2846898614193963,0.0610419112185284,-2251019.7088758457,-370435.0417264672,-40.057071016244414
CatBoost,d13C_measurement,18004,0.1816393586380472,2.8168187268715634,2.3594728506298805,2.238964044160036,-11.306336856119383,-14.880204211379962,-1.489866857180596
Transformer,d13C_measurement,18004,0.0927392266033479,2.965873334189405,2.4895050910013348,2.319366455078125,-11.242098378586222,-11.98641095725254,-3.484698457094784
XGBoost,d13C_measurement,18004,0.0335452396841464,3.061098447643784,2.5572227396576013,2.433985195159912,-13.281632601174822,-17.195676118496753,-3.703356730552768
RandomForest,d13C_measurement,18004,-0.1339680115112251,3.3157893639696723,2.7641446844236475,2.605794713069348,-15.0154944484911,-17.69950747251993,-4.48302644329118
BiLSTM,d13C_measurement,18004,-0.2213915907382431,3.44123233577604,2.781398832701824,2.409320508439182,-16.591387280174306,-16.659082635303196,-2.615684924893505
RandomForest,d18O_measurement,18004,0.5163396530939866,2.0486573086228788,1.5951126839062262,1.1054317599065309,-24.503557545162383,-21.303420394329496,-1.601833175041511
XGBoost,d18O_measurement,18004,0.3809352944768909,2.317752713046964,1.728973925633131,1.1028468652241932,-34.95871311712924,-30.028709008321645,-1.5058069906540923
CatBoost,d18O_measurement,18004,0.2919350846739077,2.478766474625616,1.7326931402731482,0.9254323245996524,-21.79434131948455,-24.907937789365448,-2.1146996695213254
BiLSTM,d18O_measurement,18004,0.2894941407994003,2.483035380000688,1.9646333866580412,1.5104030444982912,-26.13671883021677,-30.952074969600847,-3.685000623257542
Transformer,d18O_measurement,18004,-0.0026763494946926,2.949710957335892,2.380817138547109,1.890128784179688,-26.241875024163114,-31.68178121161098,-5.129333749598653
