model,target,n_rows_oof,pooled_r2,pooled_rmse,pooled_mae,pooled_mdae
CatBoost,Mg_Ca_measurement,2098,0.9583440353492032,1.838982593645576,0.968436061611554,0.3420966763246001
XGBoost,Mg_Ca_measurement,2098,0.9413832304441602,2.181473595316544,1.1053769826991222,0.3181755263865998
RandomForest,Mg_Ca_measurement,2098,0.9253586788176482,2.461663461743898,1.3487375015862386,0.4824258373257368
XGBoost,Sr_Ca_measurement,2098,0.9868179815183432,0.0583447480820305,0.0230079530390208,0.0042258067120411
CatBoost,Sr_Ca_measurement,2098,0.9845507589215576,0.0631632380623861,0.0270890094145797,0.0086546942183511
RandomForest,Sr_Ca_measurement,2098,0.9808012715373218,0.0704120589680053,0.0246045195486962,0.0034187201537805
CatBoost,d13C_measurement,2098,0.91670170026779,0.8875611983078837,0.6020317405278429,0.4005033040457895
RandomForest,d13C_measurement,2098,0.9130064715225292,0.9070343044675424,0.6355077186785001,0.4407300912376062
XGBoost,d13C_measurement,2098,0.9055781024996874,0.9449669106235984,0.6220968835318323,0.3979501533508303
CatBoost,d18O_measurement,2098,0.9772951148427992,0.4488395813492946,0.3345645447064734,0.2529627315809453
XGBoost,d18O_measurement,2098,0.9739154986346896,0.4810860494410705,0.3479777470480297,0.2566761168837547
RandomForest,d18O_measurement,2098,0.9706465150596628,0.5103420203479275,0.3837072392017608,0.2910623149253424
